Donor,codename
Fundación Apoyar,foundations
Fundacion APY,foundations
FUNDACION CIPPEC,foundations
Fundacion de Beneficencia Capacitas,foundations
Fundacion Imagina,foundations
Fundación Mi Sangre,foundations
Fundación Ojos del Mundo,foundations
Fundacion Promocion Social de la Cultura,foundations
GE Foundation,foundations
Georg Dechentreiter Wohlfahrtsstiftung,foundations
Georg Fischer (Clean Water Foundation),foundations
GHESKIO Centers,foundations
Global Children Foundation,foundations
Global Earthquake Model Foundation,foundations
Global Health Foundation,foundations
Global Medic,foundations
Grand Circle Foundation,foundations
Grant Foundation,foundations
Gulf Coast Community Foundation of Venice,foundations
Haitian Health Foundation,foundations
Have It Your Way Foundation,foundations
Hewlett-Packard Company Foundation,foundations
Hillman Family Foundations,foundations
Hirondelle Radio Okapi,foundations
Home Depot Foundation,foundations
Horizon Foundation for New Jersey,foundations
Howard Buffet Foundation,foundations
Human Development Foundation,foundations
Human Rights House Foundation ,foundations
Humana Foundation,foundations
Ibon Foundation,foundations
Icelandic Church Aid,foundations
IICD - InterNational Institute for Communication and Development,foundations
Inasmuch Foundation,foundations
InterNational Dispensary Association,foundations
InterNational Foundation for Education and Self Help,foundations
InterNational Foundation for Election Systems,foundations
International Renaissance Foundation,foundations
J. Willard and Alice S. Marriott Foundation,foundations
Jiyan Foundation for Human Rights,foundations
John D. and Catherine T. MacArthur Foundation,foundations
John Deere Foundation,foundations
John S. and James L. Knight Foundation,foundations
Karl Kubel Foundation for Children's Families,foundations
Kenya Community Sports Foundation,foundations
Khalifa Bin Zyed Al Nehayan Foundation,foundations
Khalifa Foundation,foundations
Kinderdorf Pestalozzi,foundations
Kraft Foods Foundation,foundations
Kresge Foundation,foundations
Kroger Co. Foundation,foundations
Lance Armstrong Foundation,foundations
Latin American Benevolent Foundation,foundations
Leonardo DiCaprio Foundation,foundations
Limmatstiftung Zurich,foundations
LIONS CLUB,foundations
Lisa and Douglas Goldman Fund,foundations
Lloyd A. Fry Foundation,foundations
Maarouf Saad Social and Cultural Foundation,foundations
McGregor Fund,foundations
Metta Foundation,foundations
Minneapolis Foundation,foundations
Mobilink Foundation,foundations
MOJAZ Foundation,foundations
Nathan Cummings Foundation,foundations
National Foundation for Development and Human Rights,foundations
Nationwide Insurance Foundation,foundations
Near East Foundation,foundations
Newman Foundation,foundations
Ngazi Moja Foundation,foundations
Nippon Foundation,foundations
NiSource Charitable Foundation,foundations
Noor Al Hussein Foundation,foundations
Nordic InterNational Rescue Foundation,foundations
Norsk Fredssenter,foundations
Northfield Bank Foundation,foundations
Northland Foundation,foundations
Nurani Dunia,foundations
Nyein (Shalom) Foundation,foundations
Oklahoma City Community Foundation,foundations
Open Society Foundation,foundations
Open Society Institute,foundations
Oregon Community Foundation,foundations
Philippine Jesuit Foundation,foundations
Point of Peace,foundations
Prem Rawat Foundation,foundations
Prime Foundation,foundations
Public Welfare Foundation,foundations
Purpose Foundation,foundations
Qwest Foundation ,foundations
Raf-Thani Foundation,foundations
Real Medicine Foundation,foundations
Regence Foundation,foundations
Regnskogfondet,foundations
Relationships Foundation InterNational,foundations
Reynolds American Foundation,foundations
Richard and Susan Smith Family Foundation,foundations
Roddick Foundation,foundations
Roy A. Hunt Foundation,foundations
Ruedi Leuppi Stiftung Elfenbeinküste,foundations
Rufaid Health Foundation,foundations
Rufaida Health Foundation,foundations
Rural Development Foundation,foundations
SAF - Science and Arts Foundation,foundations
Saint Barbara Foundation,foundations
Samir Kassir Foundation,foundations
San Diego Foundation,foundations
Seattle Foundation,foundations
Sempra Energy Foundation,foundations
Sewa Lanka Foundation,foundations
Shifa Foundation,foundations
Silicon Valley Community Foundation,foundations
SKUPAJ,foundations
"Société Générale de Solidarité, S.A.",foundations
Solidarität Dritte Welt,foundations
Southern Company Charitable Foundations,foundations
St. Boniface Haiti Foundation,foundations
Starbucks Foundation ,foundations
Stiftelsen for en kritisk og uavhengig presse,foundations
Stiftelsen Oljeberget,foundations
"Stiftelsen Yme, prosjekt",foundations
Stiftung des deutschen Instituts für Katastrophenmedizin,foundations
Stiftung Deutsche Welthungerhilfe,foundations
Stiftung Kasipiti,foundations
Stiftung St. Barbara,foundations
Sungi Development Foundation,foundations
Suvannimit Foundation,foundations
Suwannimit Foundation,foundations
Swiss AIDS Care InterNational,foundations
Swisscontact,foundations
Taiwan Tzu-chi Foundation Malaysia,foundations
Tameer-e-Khalaq Foundation,foundations
Taraqee Foundation,foundations
TERMA FOUNDATION,foundations
Thai National AIDS Foundation,foundations
The Achelis Foundation,foundations
The Bodman Foundation,foundations
The Dui Hua Foundation,foundations
The Fund for Peace,foundations
The Pears Foundation,foundations
The Rafto Foundation,foundations
The Survivor Network Foundation and People with Disability,foundations
Thomson Foundation,foundations
Tomooh Association for Skills Development,foundations
Tompran Foundation,foundations
Trauma Care Foundation,foundations
Tzu Chi Foundation ,foundations
Union Bank Foundation,foundations
Verizon Foundation,foundations
VICINI and the INICIA Foundation,foundations
Vodafone Group Foundation,foundations
Voila Earthquake Relief Fund,foundations
W.K. Kellogg Foundation,foundations
Wegman Family Charitable Foundation,foundations
Winn-Dixie Foundation,foundations
World Rehabilitation Fund,foundations
World Research Foundation,foundations
Xcel Energy Foundation ,foundations
Yasska Foundation,foundations
Yele Haiti Foundation ,foundations
YME Foundation,foundations
Kulczyk foundations,foundations
Qwest Foundation,foundations
Central Minnesota Community Foundation,foundations
Xcel Energy Foundation,foundations
Saudi Arabia (Kingdom of),NDD
United Arab Emirates,NDD
Belarus,NDD
Russian Federation,NDD
Malaysia,NDD
Chile,NDD
Liechtenstein,NDD
San Marino,NDD
Israel,NDD
India,NDD
Turkey,NDD
Cyprus,NDD
Monaco,NDD
Romania,NDD
Colombia,NDD
Egypt,NDD
China,NDD
Viet Nam,NDD
Bahamas,NDD
Singapore,NDD
Kuwait,NDD
Mauritius,NDD
Thailand,NDD
Qatar,NDD
Nigeria,NDD
Moldova,NDD
Rwanda,NDD
Libya,NDD
Burundi,NDD
Sudan,NDD
Tunisia,NDD
Dominican Republic,NDD
Gabon,NDD
Swaziland,NDD
Angola,NDD
Seychelles,NDD
Namibia,NDD
Botswana,NDD
Zambia,NDD
Lesotho,NDD
Mauritania,NDD
Brazil,NDD
Oman,NDD
South Africa,NDD
Malawi,NDD
Morocco,NDD
Kenya,NDD
Ghana,NDD
Latvia,NDD
Bangladesh,NDD
Cuba,NDD
Venezuela,NDD
Costa Rica,NDD
Ecuador,NDD
Peru,NDD
Mexico,NDD
Argentina,NDD
Holy See,NDD
Nicaragua,NDD
Honduras,NDD
Guatemala,NDD
Panama,NDD
Pakistan,NDD
Armenia,NDD
Algeria,NDD
Nepal,NDD
Estonia,NDD
Kazakhstan,NDD
Trinidad and Tobago,NDD
Indonesia,NDD
Lithuania,NDD
Eritrea,NDD
Andorra,NDD
Brunei Darussalam,NDD
Malta,NDD
Faeroe Islands,NDD
El Salvador,NDD
Iran,NDD
Iraq,NDD
Cameroon,NDD
Yemen,NDD
Cook Islands,NDD
Fiji,NDD
Uganda,NDD
Jordan,NDD
Cote d'Ivoire,NDD
French Polynesia,NDD
Zimbabwe,NDD
Madagascar,NDD
Syrian Arab Republic,NDD
"Palestinian territory, occupied",NDD
Papua New Guinea,NDD
Mozambique,NDD
"Korea, Democratic People's Republic of",NDD
Lao (People's Democratic Republic),NDD
"Macedonia, Former Yugoslav Republic of",NDD
Philippines,NDD
Azerbaijan,NDD
Afghanistan,NDD
Ukraine,NDD
Kyrgyzstan,NDD
Croatia,NDD
Albania,NDD
Equatorial Guinea,NDD
Timor Leste,NDD
Lebanon,NDD
Guyana,NDD
Senegal,NDD
Bulgaria,NDD
Palau,NDD
Serbia and Montenegro,NDD
Mali,NDD
Tuvalu,NDD
Cambodia,NDD
"Micronesia,  Federated States of",NDD
Bolivia,NDD
Liberia,NDD
Bahrain,NDD
Tajikistan,NDD
Sri Lanka,NDD
Grenada,NDD
Djibouti,NDD
Antigua and Barbuda,NDD
"Congo, Republic of",NDD
Hong Kong Special Administrative Region of the People's Republic of China,NDD
Jamaica,NDD
Puerto Rico,NDD
Turkmenistan,NDD
Tanzania,NDD
Mongolia,NDD
Bhutan,NDD
Bosnia & Herzegovina,NDD
Montenegro,NDD
Samoa,NDD
Tonga,NDD
Uzbekistan,NDD
Burkina Faso,NDD
Myanmar,NDD
Benin,NDD
Saint Lucia,NDD
Haiti,NDD
Belize,NDD
Georgia,NDD
Barbados,NDD
Serbia,NDD
Maldives,NDD
Chad,NDD
"Congo, Democratic Republic of",NDD
Ethiopia,NDD
Republic of South Sudan,NDD
Uruguay,NDD
League of Arab States,NDD
National Commission for Lebanese Women,NDD
Central African Republic,NDD
Khazanah Nasional,NDD
Togo,NDD
Saint Vincent and the Grenadines,NDD
Nauru,NDD
Niger,NDD
Sierra Leone,NDD
British Virgin Islands,NDD
Dominica,NDD
Turks and Caicos Islands,NDD
Paraguay,NDD
Kuwait Fund for Arab Economic Development,NDD
Al Awqaf General Secretariat,NDD
Al-Zakat House,NDD
Abu Dhabi Tourism Authority,NDD
Afghan Ministry of Planning,NDD
BAPPENAS - Indonesia National Development Planning Agency,NDD
Bidan Kesehatan Department of Health Indonesia,NDD
Bilateral (affected government),NDD
Bilateral (to affected government),NDD
CAIPA,NDD
Cameroun,NDD
Cascos Blancos - Argentina,NDD
Centre for the Coordination of Natural Disaster Prevention in Central America,NDD
Chad ,NDD
"Comite de crise ""Nyiragongo 2002""",NDD
Coordinadora Nacional para la Reduccion de Desastres,NDD
Croatian Mine Action Center,NDD
"Cyprus, Republic of - Permanent Mission to the United Nations Office at Geneva",NDD
Department of Settlement and Regional Infrastructure (Kimpraswil),NDD
Disaster Prevention and Preparedness Commission Ethiopia,NDD
El Obeid,NDD
EMERCOM,NDD
EMERCOM/Mongolia,NDD
EMERCOM/Russian Federation,NDD
