Recipient.Organization,recipientcodename
German Relation Office Ramallah,DAC governments
"Greek Embassy, Tehran",DAC governments
"Hyogo Prefecture, Japan",DAC governments
Iceland,DAC governments
Ireland,DAC governments
Ireland Aid Mission,DAC governments
Italian Development Cooperation,DAC governments
Japan Disaster Relief,DAC governments
JICA -  Japan InterNational Cooperation Agency,DAC governments
Justisdepartementet,DAC governments
Los Angeles County Search and Rescue,DAC governments
Luxembourg,DAC governments
MAAG,DAC governments
Ministry of Defense of Germany,DAC governments
Netherlands,DAC governments
Netherlands Embassy in Namibia,DAC governments
Norway Royal Ministry of Foreign Affairs,DAC governments
Office of the Representative of Denmark to Afghanistan,DAC governments
Portuguese Institute for Cooperation,DAC governments
Royal Danish Embassy - Jakarta,DAC governments
Royal Danish Representative Office in Colombo,DAC governments
Sivilombudsmannen,DAC governments
Slovenia,DAC governments
Spanish Aced,DAC governments
Spanish Agency InterNational Cooperation,DAC governments
Stadt Wien,DAC governments
Swiss Embassy,DAC governments
The Danish-Ethiopian Cooperation,DAC governments
The National Platform for Natural Hazards,DAC governments
Ulsan Metropolitan City,DAC governments
United Kingdom,DAC governments
United Kingdom ,DAC governments
"United Kingdom - Dept. for InterNational Development - Conflict, Humanitarian and Security Department",DAC governments
United Kingdom Department for InterNational Development,DAC governments
United Kingdom Ministry of Defence,DAC governments
United States Department of Agriculture,DAC governments
United States Department of Defense,DAC governments
United States Department of Health and Human Services,DAC governments
United States Department of State,DAC governments
United States of America,DAC governments
United States Office for Foreign Disaster Assistance,DAC governments
US Embassy,DAC governments
US Forest Service,DAC governments
US Geological Survey,DAC governments
USAID Mission,DAC governments
USAID Recipient,DAC governments
USAID/ANE,DAC governments
USAID/Angola,DAC governments
USAID/Bangladesh,DAC governments
USAID/Conakry,DAC governments
USAID/Disaster Assistance Response Team,DAC governments
USAID/DRC,DAC governments
USAID/Ethiopia,DAC governments
USAID/Guinea,DAC governments
USAID/Haiti,DAC governments
USAID/Indonesia,DAC governments
USAID/Jamaica,DAC governments
USAID/Kenya,DAC governments
USAID/Khartoum,DAC governments
USAID/Liberia,DAC governments
USAID/Lilongwe,DAC governments
USAID/Madagascar,DAC governments
USAID/Malawi,DAC governments
USAID/Nepal,DAC governments
USAID/OTI,DAC governments
USAID/Regional Economic Development Services Office            ,DAC governments
USAID/Russia,DAC governments
USAID/Senegal,DAC governments
USAID/Somalia,DAC governments
USAID/South Africa,DAC governments
USAID/Sri Lanka,DAC governments
USAID/Uganda,DAC governments
USAID/West African Regional Programme,DAC governments
USAID/Zimbabwe,DAC governments
USAIDís Pastoralist Livelihoods Initiative,DAC governments
"Vitoria-Gasteiz, Municipality of (Spain)",DAC governments
ECHO DFID contribution,DAC governments
"Greece, Government of",DAC governments
Italian Development Cooperation Agency,DAC governments
European Commission,EC
Stability Pact,EC
European Commission's Humanitarian Aid and Civil Protection Department,EC
European Union Border Assistance Mission,EC
European Agency for Reconstruction,EC
MIC EU Civil Protection,EC
EU Special Representative,EC
PEGASE,EC
EU Regional Trust Fund in Response to the Syrian Crisis (Madad Fund),EC
EU/DFSIS,EC
European Commission Civil Protection Mechanism,EC
European Commission Directorate General for Development,EC
European Commission EuropeAid Co-operation Office,EC
European Commission EuropeAid Development and Cooperation,EC
European Commission Humanitarian Aid Office,EC
European Commission Rapid Reaction Mechanism,EC
European Union,EC
European Union Programme Support Unit 1,EC
European Union Programme Support Unit 2,EC
EuropeAid,EC
MADAD FUND,EC
European Centre for Disease Prevention and Control,EC
Diakonia World Federation,foundations
Stichting Vluchteling,foundations
Eugene Bell Foundation,foundations
Trauma Care Foundation,foundations
YME Foundation,foundations
America's Development Foundation,foundations
Foundation for European Development Assistance,foundations
Yasska Foundation,foundations
UN Foundation,foundations
FSS,foundations
Edith Wilkins Hope Foundation,foundations
Karl Kubel Foundation for Children's Families,foundations
Fundacion Paz - Holandesa,foundations
Singapore International Foundation,foundations
Fondation Internationale Carrefour,foundations
The Kvinna till Kvinna Foundation,foundations
Ernesto Sabato Foundation,foundations
Relationships Foundation International,foundations
International Dispensary Association,foundations
Hirondelle Radio Okapi,foundations
International Foundation for Election Systems,foundations
Limmatstiftung Zurich,foundations
Foundation for the Refugee Trust,foundations
Foundation Signs,foundations
Korean Welfare Foundation,foundations
International Corn Foundation,foundations
The Tibet Fund,foundations
ATLAS,foundations
Saint Barbara Foundation,foundations
Lions Clubs International Foundation,foundations
Nordic International Rescue Foundation,foundations
SAF - Science and Arts Foundation,foundations
Georg Dechentreiter Wohlfahrtsstiftung,foundations
Stromme Foundation,foundations
Sweet Mickey Foundation,foundations
Nurani Dunia,foundations
Foundation Together,foundations
FundaciÛn Amalaka,foundations
Foundation Limmat,foundations
Foundation Politeon,foundations
Human Development Foundation,foundations
Canadian Relief Foundation,foundations
Architectes de l'urgence,foundations
Kinderdorf Pestalozzi,foundations
Conrad N. Hilton Foundation,foundations
Association libanaise de l'Ordre de Malte,foundations
Foundation for Co-existence,foundations
Swiss Solidarity,foundations
Fondation de France,foundations
Kimse Yok Mu Solidarity Foundation,foundations
Stiftung St. Barbara,foundations
Fundacion de Beneficencia Capacitas,foundations
Fondation Hirondelle,foundations
Central Ecuatoriana de Servicios Agricolas,foundations
Pan American Health and Education Foundation,foundations
Stiftelsen Oljeberget,foundations
Norsk Fredssenter,foundations
The Dui Hua Foundation,foundations
ZAYED Foundation,foundations
World Research Foundation,foundations
Centre for Safety and Development,foundations
Swisscontact,foundations
FundaciÛn Apoyar,foundations
Tzu Chi Foundation,foundations
Point of Peace,foundations
TERMA FOUNDATION,foundations
Foundation Vida Peru,foundations
Rural Development Foundation,foundations
The Rafto Foundation,foundations
Regnskogfondet,foundations
Netherlands Refugee Foundation,foundations
Global Health Foundation,foundations
Solidarit‰t Dritte Welt,foundations
Stiftung Kasipiti,foundations
Thai National AIDS Foundation,foundations
Digicel Foundation,foundations
IICD - International Institute for Communication and Development,foundations
Fondasyon Kole Zepol,foundations
Sewa Lanka Foundation,foundations
Stiftelsen for en kritisk og uavhengig presse,foundations
FUNDACION CIPPEC,foundations
FONDATION POUR L INSTITUT,foundations
Mohamed Bin Rashid Al Maktoum Humanitarian and Charity Establishment,foundations
FundaciÛn Mi Sangre,foundations
Ruedi Leuppi Stiftung Elfenbeink¸ste,foundations
FAIRMED Foundation,foundations
FundaciÛn Antonio Restrepo Barco,foundations
Auschwitz-Birkenau Foundation,foundations
Khalifa Bin Zayed Al Nahyan Foundation,foundations
Al Maktoum Foundation,foundations
Al-Sabeel Foundation for Social Development,foundations
Taiwan Tzu-chi Foundation Malaysia,foundations
Noor Al Hussein Foundation,foundations
"Gift of the Givers Foundation (Pietermaritzburg, RSA)",foundations
Foundation for the Future,foundations
Antares Foundation,foundations
The Survivor Network Foundation and People with Disability,foundations
Raf-Thani Foundation,foundations
Fondation Chreschte mam Sahel,foundations
Suwannimit Foundation,foundations
Foundation for the Peoples of the South Pacific International,foundations
Democratic Control of Armed Forces,foundations
"Balay Mindanaw Foundation, Inc.",foundations
Near East Foundation,foundations
FICASE,foundations
Purpose Foundation,foundations
Euro-Mediterranean Foundation of Support to Human Rights Defenders,foundations
Open Society Foundations,foundations
Sheikh Thani bin Abdullah Foundation for Humanitarian Services,foundations
Heinrich Bˆll Foundation,foundations
Fondation Luxembourgeoise Raoul Follereau,foundations
Open Society Institute Assistance Foundation,foundations
Stiftung Deutsche Welthungerhilfe,foundations
Fondation Raoul Follereau,foundations
Thomson Foundation,foundations
Samir Kassir Foundation,foundations
Suvannimit Foundation,foundations
Global Medic,foundations
International Renaissance Foundation,foundations
Philippine Jesuit Foundation,foundations
Rockefeller Foundation,foundations
Abdel Mohsen Qattan Foundation,foundations
European Meeting Centre - Nowy Staw Foundation,foundations
LÈger Foundation,foundations
Kofi Annan Foundation,foundations
Kuwait Foundation for the Advancement of Science,foundations
Philippine Disaster Resilience Foundation,foundations
Grand Challenges Canada,foundations
African Entrepreneur Collective,foundations
Bill and Melinda Gates Foundation,foundations
Bay Regional Education Committee,foundations
Fondation Femmes plus,foundations
Equilibre,foundations
International Foundation for Education and Self Help,foundations
Child Development Foundation,foundations
Taraqee Foundation,foundations
Shifa Foundation,foundations
Dinah Falala & Phoebe Sandi Foundation,foundations
Kenya Community Sports Foundation,foundations
Fundacion APY,foundations
Tameer-e-Khalaq Foundation,foundations
Department of Ecumenical Relations and Development,foundations
Friends Foundation,foundations
MOJAZ Foundation,foundations
Tomooh Association for Skills Development,foundations
GHESKIO Centers,foundations
Fondation pour le DÈveloppement et l'Encadrement des Familles Haitiennes,foundations
St. Boniface Haiti Foundation,foundations
Tompran Foundation,foundations
Jiyan Foundation for Human Rights,foundations
Education Above All Foundation,foundations
AAPKI Foundation,foundations
ADC Foundation,foundations
Aetna Foundation,foundations
Airbus Foundation,foundations
Alcoa Foundation,foundations
Alexander Bodini Foundation,foundations
Al-Khidmat Foundation,foundations
Allstate Foundation,foundations
America's Development Foundation ,foundations
AMITY FOUNDATION,foundations
Annie E. Casey Foundation,foundations
ArcelorMittal Foundation,foundations
"ARIGATOU FOUNDATION, JAPAN",foundations
Asia Foundation,foundations
AT&T Foundation,foundations
Atlantic Philanthropies,foundations
Awaz Foundation Pakistan Center for Development Services,foundations
Barclay's Foundation,foundations
Baxter InterNational Foundation,foundations
Benfica Foundation,foundations
Bernard van Leer Foundation,foundations
Best Buy Children's Foundation,foundations
"Blue Cross and Blue Shield of Minnesota Foundation, Inc.",foundations
Boston Foundation,foundations
Boston Foundation (Ansara Family Fund),foundations
BP Foundation,foundations
Brother's Brother Foundation,foundations
Buddhist Compassion Relief Tzu Chi Foundation,foundations
